
         designation          ra         dec  w1mpro  w2mpro  w3mpro  w4mpro           dist       angle
   J143315.58+085614.8  218.3149478    8.9374718   16.139   15.880   12.461    9.042     1263.137359    66.810636 
   J143254.36+090342.7  218.2265216    9.0618808   16.413   15.611   11.579    9.195     1268.597210    41.846476 
   J143105.62+083103.0  217.7734323    8.5175015    8.820    8.863    8.849    8.905     1271.181681   217.030973 
   J143238.98+082922.6  218.1624352    8.4896276   15.662   15.242   11.212    9.355     1275.708379   150.949904 
   J143200.01+090921.5  218.0000435    9.1559888   15.438   15.291   12.230    9.054     1284.200522     1.837132 
   J143031.46+085103.5  217.6311231    8.8509986   15.036   13.985   11.462    9.078     1284.657161   278.333097 
   J143155.23+090922.9  217.9801647    9.1563802   14.363   14.102   10.576    8.961     1285.287152   358.685597 
   J143030.28+084747.8  217.6261722    8.7966196   15.798   15.527   12.029    8.989     1288.930059   269.574760 
   J143232.08+090741.5  218.1336795    9.1282113   16.060   15.545   11.631    9.129     1291.294760    23.561448 
   J143033.44+084151.6  217.6393699    8.6976901   15.866   15.664   12.221    9.226     1294.998291   253.594132 
   J143153.18+090934.1  217.9715934    9.1594866   15.629   14.813   10.885    8.650     1297.518456   357.351968 
   J143040.12+083739.0  217.6671864    8.6275235   14.534   14.336   12.475    8.797     1300.026231   241.593779 
   J143059.32+090416.7  217.7472046    9.0713171   15.220   15.397   11.236    8.504     1301.546191   318.779807 
   J143057.46+083203.6  217.7394411    8.5343514   16.147   15.751   11.430    9.068     1302.381418   222.899175 
   J143323.07+085251.6  218.3461353    8.8810126   14.231   13.532    9.730    7.245     1305.776183    76.977531 
   J143318.47+085629.6  218.3269753    8.9415787   17.234   16.598   12.274    9.205     1308.283390    66.951308 
   J143229.03+090821.9  218.1209682    9.1394211   16.557   16.001   12.571    9.122     1311.467140    21.046262 
   J143313.18+083640.8  218.3049553    8.6113424   15.582   14.213   10.931    8.637     1314.167506   120.993309 
   J143241.56+090659.3  218.1731849    9.1164934   16.388   15.872   12.291    8.867     1316.893352    29.907904 
   J143324.55+085232.1  218.3523177    8.8755918   16.145   16.269   12.260    8.991     1323.043325    78.014842 
   J143027.47+084613.7  217.6144766    8.7704810   16.490   15.194   11.122    9.058     1334.626363   265.546884 
   J143027.56+084552.7  217.6148433    8.7646492   14.152   13.204   10.442    8.040     1335.142252   264.644279 
   J143326.99+084539.8  218.3624865    8.7610697   16.553   16.491   12.432    8.779     1337.869622    95.899248 
   J143200.94+091016.5  218.0039400    9.1712561   16.946   16.097   12.710    9.087     1339.633428     2.353682 
   J143145.47+091008.0  217.9394664    9.1688950    9.139    9.175    9.177    8.691     1341.363141   352.541291 
   J143035.82+085744.5  217.6492616    8.9623814   17.018   16.327   12.821    9.208     1341.500914   295.953787 
   J143312.18+090042.2  218.3007728    9.0117449   15.974   15.660   12.082    9.215     1348.298524    55.446169 
   J143029.09+084209.6  217.6212417    8.7026850   15.102   14.810   12.080    8.623     1352.236537   255.099502 
   J143050.20+083236.8  217.7091977    8.5435770   16.357   16.592   11.813    8.977     1355.081000   227.195519 
   J143309.03+083359.1  218.2876433    8.5664189   15.490   15.531   12.152    9.459     1355.503790   128.212658 
   J143103.86+090619.7  217.7661146    9.1054738   14.753   14.269   12.269    9.077     1356.061981   324.349803 
   J143123.69+082653.9  217.8487133    8.4483116   16.900   16.507   12.339    9.418     1358.436717   201.489274 
   J143328.28+085038.2  218.3678628    8.8439688   11.743   11.641   11.497    9.364     1359.174482    83.199120 
   J143309.78+083406.3  218.2907893    8.5684382   16.454   16.182   12.559    9.366     1359.855195   127.679957 
   J143328.84+084638.1  218.3701916    8.7772587   16.100   15.985   12.602    9.300     1360.446919    93.337307 
   J143229.54+082639.2  218.1231094    8.4442480   15.207   14.879   12.624    9.144     1365.588860   159.444145 
   J143104.48+082917.9  217.7687070    8.4883329   14.884   14.465   10.551    8.626     1366.076952   214.943656 
   J143327.62+084321.7  218.3651235    8.7226970   15.330   14.707   10.786    9.198     1368.354797   101.621068 
   J143203.37+091045.2  218.0140560    9.1792466   14.769   14.409   11.468    8.483     1370.293497     3.806351 
   J143109.14+082827.4  217.7881168    8.4742876   15.307   15.016   12.050    8.982     1370.662978   211.362610 
   J143149.22+082511.2  217.9551163    8.4197811   11.910   11.956   12.026    9.073     1371.951223   184.965247 
   J143326.08+084117.9  218.3586952    8.6883186   16.652   15.020   10.998    8.740     1376.765947   106.865019 
   J143329.77+084535.6  218.3740780    8.7599134   14.005   13.673   10.222    8.731     1379.321539    95.893425 
   J143330.11+084555.6  218.3754982    8.7654458   14.845   14.484   10.397    8.557     1382.431427    95.050662 
   J143330.26+084618.5  218.3760954    8.7718264   15.819   15.448   12.030    9.289     1382.694320    94.094719 
   J143227.08+082607.1  218.1128656    8.4353109   13.903   13.620    9.699    7.982     1383.667400   161.326382 
   J143223.46+091009.8  218.0977710    9.1693988   14.604   14.294   11.743    8.987     1387.376448    16.261422 
   J143034.45+083710.0  217.6435817    8.6194615   16.190   15.855   12.889    9.239     1387.796795   242.193122 
   J143313.32+083427.0  218.3055327    8.5741851   16.245   16.376   12.745    9.009     1389.552990   125.680631 
   J143055.22+083033.8  217.7300861    8.5093925   16.336   16.247   12.685    9.418     1391.383514   221.387486 
   J143227.38+082556.0  218.1140951    8.4322355   13.230   13.015    9.680    7.666     1395.557789   161.301465 
   J143050.08+083128.3  217.7086967    8.5245442   15.873   14.153   11.266    8.572     1403.839958   225.194294 
   J143243.03+082728.0  218.1793047    8.4577838   15.795   15.247   11.528    9.437     1405.095954   151.076017 
   J143248.72+090748.7  218.2030133    9.1302202   15.568   14.901   11.132    8.194     1414.227822    32.632005 
   J143104.90+082757.2  217.7704432    8.4658990   14.873   14.498   11.347    9.236     1429.687585   212.887729 
   J143042.29+083253.8  217.6762408    8.5482838   16.341   15.530   11.434    9.036     1432.546994   230.886253 
   J143055.40+082931.4  217.7308703    8.4920746   17.187   17.116   12.806    9.335     1436.993228   219.661422 
   J143316.23+083402.4  218.3176389    8.5673607   15.673   15.427   11.352    8.954     1438.893364   125.472682 
   J143058.53+082846.5  217.7438967    8.4795990   15.754   15.344   12.150    9.107     1443.442983   217.105548 
   J143041.94+083226.6  217.6747639    8.5407395   15.661   15.074   11.522    8.936     1453.883186   230.187178 
   J143046.39+083111.1  217.6933050    8.5197771   16.749   16.074   11.832    8.862     1455.034014   226.237040 
   J143246.70+082642.9  218.1945917    8.4452591   15.741   15.559   12.321    9.099     1471.102304   150.068293 
   J143031.21+083539.7  217.6300437    8.5943887   12.474   12.507   12.415    8.782     1473.693721   239.965513 
   J143038.92+083247.4  217.6621960    8.5465060   16.050   15.372   11.737    8.581     1475.596599   231.919675 
   J143328.44+083741.1  218.3685343    8.6280967   16.384   15.524   11.998    8.541     1486.511406   114.489145 
   J143156.53+082310.7  217.9855791    8.3863278   13.710   13.415    9.971    7.012     1487.275311   180.395276 
   J143038.97+083222.4  217.6623853    8.5395744   15.658   15.321   11.438    8.771     1490.608690   231.149152 
   J143305.92+082946.1  218.2746696    8.4961606    7.668    7.866    7.686    7.787     1493.233020   136.964871 
   J143229.56+091132.5  218.1232014    9.1923639   15.456   14.559   11.220    8.524     1493.425591    18.701282 
   J143058.45+082744.3  217.7435757    8.4623156   16.162   14.435   11.312    9.101     1494.226280   215.702257 
   J143037.44+083243.9  217.6560375    8.5455378   15.751   15.202   11.917    9.246     1495.033755   232.333407 
   J143309.68+090521.1  218.2903473    9.0891997   16.013   16.019   12.714    8.881     1496.871472    45.801622 
   J143336.51+084224.6  218.4021268    8.7068463   16.645   16.203   12.478    9.156     1509.137977   102.730553 
   J143015.28+084813.9  217.5637041    8.8038675   17.295   15.591   12.563    9.021     1511.197781   270.635454 
   J143153.95+091308.5  217.9748047    9.2190349   15.011   14.727   11.072    8.654     1511.285619   358.160025 
   J143335.53+084103.2  218.3980529    8.6842372   15.907   15.404   12.090    9.131     1515.275290   105.854747 
   J143334.47+083937.7  218.3936358    8.6604756   16.976   16.385   12.857    9.428     1526.074527   109.106873 
   J143123.87+082354.2  217.8494733    8.3984164   13.031   12.828    9.355    7.209     1526.133787   198.925764 
   J143230.74+082354.8  218.1281095    8.3985649   14.887   14.273   10.471    8.654     1526.394951   160.983908 
   J143019.46+083951.6  217.5811176    8.6643352   14.937   14.709   12.754    9.148     1528.875856   251.479864 
   J143013.81+084814.1  217.5575608    8.8039301   15.630   15.204   11.960    8.836     1533.054255   270.635751 
   J143014.63+084416.4  217.5609888    8.7379004   16.313   15.684   11.874    8.994     1536.965330   261.743619 
   J143333.42+085733.3  218.3892860    8.9592731   16.425   16.090   12.704    9.312     1537.402115    67.991581 
   J143237.84+082413.3  218.1576689    8.4037133   16.883   16.036   12.337    8.973     1546.738012   157.070098 
   J143323.10+083311.5  218.3462541    8.5531960   17.311   17.000   12.507    9.077     1551.530143   124.819449 
   J143018.91+083838.2  217.5788191    8.6439693   16.722   16.129   12.594    8.921     1561.426811   249.024658 
   J143036.14+083119.0  217.6506013    8.5219546   13.479   13.283    9.649    7.809     1563.260914   230.305438 
   J143319.61+090423.5  218.3317247    9.0732154   10.980   11.038   11.031    9.251     1568.934002    51.058327 
   J143337.41+083931.1  218.4058846    8.6586651   14.506   14.253   11.122    8.918     1569.411777   108.809045 
   J143213.52+082206.6  218.0563539    8.3685028   15.812   14.372   10.368    7.460     1570.121636   171.140488 
   J143315.06+090544.0  218.3127700    9.0955572   16.513   15.646   12.165    9.107     1570.491646    47.228150 
   J143314.44+090554.7  218.3101716    9.0985288   16.176   15.677   12.321    9.219     1571.027133    46.712972 
   J143127.91+082246.8  217.8663283    8.3796671   16.618   16.155   11.883    9.210     1572.508114   196.058463 
   J143102.21+082526.6  217.7592114    8.4240778   15.814   14.941   11.099    8.166     1578.593557   211.142415 
   J143343.92+084653.0  218.4330240    8.7813907   17.562   16.414   12.734    9.013     1582.967345    92.319855 
   J143046.10+082809.2  217.6920851    8.4692309   16.563   15.629   12.925    9.019     1589.320405   221.606213 
